invoice,net_amount,qty,item_code
IDS-2025-02-49-02428,-50000,-1,SA870-1
IDS-2025-02-49-02618,-23333,-1,SA200-3
IDS-2026-02-171-00478,-22703,-3,SA910-2
IDS-2025-01-128-00011,0,1,SAIVERY
IDS-2025-01-128-00015,0,1,SAIVERY
IDS-2025-01-128-00030,0,1,SAIVERY
IDS-2025-01-33-00057,0,1,SAIVERY
IDS-2025-01-33-00063,0,1,SAIVERY
IDS-2025-01-33-00074,0,1,SAIVERY
IDS-2025-01-33-00075,0,1,SAIVERY
IDS-2025-01-33-00077,0,1,SAIVERY
IDS-2025-01-54-00079,0,1,SAIVERY
IDS-2025-01-54-00089,0,1,SAIVERY
IDS-2025-02-128-00005,0,1,SAIVERY
IDS-2025-02-128-00006,0,1,SAIVERY
IDS-2025-02-128-00011,0,1,SAIVERY
IDS-2025-02-129-00008,0,1,SAIVERY
IDS-2025-02-33-00045,0,1,SAIVERY
IDS-2025-02-33-00049,0,1,SAIVERY
IDS-2025-02-33-00054,0,1,SAIVERY
IDS-2025-02-33-00057,0,1,SAIVERY
IDS-2025-02-54-00042,0,1,SAIVERY
IDS-2025-04-128-00003,0,1,SAIVERY
IDS-2025-04-128-00018,0,1,SAIVERY
IDS-2025-04-128-00021,0,1,SAIVERY
IDS-2025-04-33-00032,0,1,SAIVERY
IDS-2025-04-33-00037,0,1,SAIVERY
IDS-2025-07-128-00002,0,1,SAIVERY
IDS-2025-07-33-00014,0,1,SAIVERY
IDS-2025-07-33-00018,0,1,SAIVERY
IDS-2025-07-33-00021,0,1,SAIVERY
IDS-2025-07-33-00022,0,1,SAIVERY
IDS-2025-07-54-00018,0,1,SAIVERY
IDS-2026-04-37-01219,0,1,SA1-1CS
IDS-2026-04-37-01309,0,1,SA496-1
IDS-2026-04-37-00249,0,1,SA002-1
IDS-2025-02-29-01110,0,1,SAES_TD
IDS-2025-02-29-01152,0,1,SAES_TD
IDS-2025-02-29-01207,0,1,SAES_TD
IDS-2025-02-29-01244,0,1,SAES_TD
IDS-2025-02-29-01265,0,1,SAES_TD
IDS-2025-02-29-01267,0,1,SAES_TD
IDS-2025-02-29-01269,0,1,SAES_TD
IDS-2025-02-29-01271,0,1,SAES_TD
IDS-2025-02-29-01273,0,1,SAES_TD
IDS-2025-02-29-01303,0,2,SAES_TD
IDS-2025-02-29-01331,0,1,SAES_TD
IDS-2025-02-29-01357,0,1,SAES_TD
IDS-2025-02-49-02261,0,1,SAES_TD
IDS-2025-02-49-02274,0,1,SAES_TD
IDS-2025-02-49-02500,0,1,SAES_TD
IDS-2025-02-49-02522,0,1,SAES_TD
IDS-2025-02-49-02551,0,1,SAES_TD
IDS-2025-02-49-02588,0,2,SAES_TD
IDS-2025-02-49-02617,0,1,SAES_TD
IDS-2025-02-49-02639,0,1,SAES_TD
IDS-2025-02-49-02658,0,1,SAES_TD
IDS-2025-02-49-02661,0,1,SAES_TD
IDS-2025-02-49-02670,0,1,SAES_TD
IDS-2025-02-49-02689,0,1,SAES_TD
IDS-2025-02-49-02761,0,1,SAES_TD
IDS-2025-02-49-02821,0,1,SAES_TD
IDS-2025-02-49-02840,0,1,SAES_TD
IDS-2025-02-49-02865,0,1,SAES_TD
IDS-2025-02-49-02884,0,1,SAES_TD
IDS-2025-02-49-02892,0,1,SAES_TD
IDS-2025-02-49-02968,0,1,SAES_TD
IDS-2025-02-49-03014,0,1,SAES_TD
IDS-2025-02-49-03166,0,1,SAES_TD
IDS-2025-02-49-03172,0,1,SAES_TD
IDS-2025-02-49-03188,0,1,SAES_TD
IDS-2025-02-49-03189,0,1,SAES_TD
IDS-2025-02-49-03191,0,1,SAES_TD
IDS-2025-02-49-03192,0,1,SAES_TD
IDS-2025-02-49-03193,0,1,SAES_TD
IDS-2025-02-49-03194,0,1,SAES_TD
IDS-2025-02-49-03195,0,1,SAES_TD
IDS-2025-02-49-03196,0,1,SAES_TD
IDS-2025-02-49-03224,0,1,SAES_TD
IDS-2025-02-49-03299,0,1,SAES_TD
IDS-2025-02-49-03358,0,1,SAES_TD
IDS-2025-02-49-03448,0,1,SAES_TD
IDS-2025-02-49-03492,0,1,SAES_TD
IDS-2025-02-49-03634,0,1,SAES_TD
IDS-2025-02-49-03724,0,1,SAES_TD
IDS-2025-02-49-03726,0,1,SAES_TD
IDS-2025-02-49-03730,0,2,SAES_TD
IDS-2025-02-59-00793,0,1,SAES_TD
IDS-2025-02-59-00808,0,1,SAES_TD
IDS-2025-02-59-00820,0,2,SAES_TD
IDS-2025-02-59-00844,0,1,SAES_TD
IDS-2025-02-59-00942,0,1,SAES_TD
IDS-2025-02-59-01004,0,1,SAES_TD
IDS-2025-02-59-01170,0,1,SAES_TD
IDS-2025-02-59-01337,0,1,SAES_TD
IDS-2025-02-59-01416,0,1,SAES_TD
IDS-2025-02-59-01486,0,1,SAES_TD
IDS-2025-02-59-01516,0,1,SAES_TD
IDS-2025-02-59-01573,0,1,SAES_TD
IDS-2025-02-59-01622,0,1,SAES_TD
IDS-2025-02-59-01667,0,1,SAES_TD
IDS-2025-02-59-01764,0,1,SAES_TD
IDS-2025-02-59-01794,0,1,SAES_TD
IDS-2025-04-2-01054,0,1,SAES_TD
IDS-2025-04-2-01055,0,1,SAES_TD
IDS-2025-04-2-01184,0,1,SAES_TD
IDS-2025-04-2-01211,0,1,SAES_TD
IDS-2025-04-2-01259,0,1,SAES_TD
IDS-2025-04-2-01304,0,1,SAES_TD
IDS-2025-04-37-00845,0,1,SAES_TD
IDS-2025-04-37-00853,0,1,SAES_TD
IDS-2025-04-37-00980,0,1,SAES_TD
IDS-2025-04-37-01101,0,1,SAES_TD
IDS-2025-04-37-01215,0,1,SAES_TD
IDS-2025-04-70-00183,0,1,SAES_TD
IDS-2025-04-70-00205,0,2,SAES_TD
IDS-2025-04-70-00260,0,1,SAES_TD
IDS-2025-04-70-00299,0,1,SAES_TD
IDS-2025-04-70-00584,0,1,SAES_TD
IDS-2025-04-89-00576,0,1,SAES_TD
IDS-2025-04-89-00638,0,1,SAES_TD
IDS-2025-04-89-00796,0,1,SAES_TD
IDS-2025-04-89-00853,0,2,SAES_TD
IDS-2025-04-89-00871,0,1,SAES_TD
IDS-2025-04-89-00874,0,1,SAES_TD
IDS-2025-04-89-01176,0,2,SAES_TD
IDS-2025-07-108-00264,0,1,SAES_TD
IDS-2025-07-50-01242,0,1,SAES_TD
IDS-2026-01-57-00515,0,1,SAES_TD
IDS-2026-01-60-02257,0,1,SAES_TD
IDS-2026-01-60-03779,0,1,SAES_TD
IDS-2026-02-171-00125,0,1,SAES_TD
IDS-2026-02-171-00139,0,1,SAES_TD
